Back,Terug
"Delete Model","Verwijder model"
"Are you sure you want to do this?","Weet je zeker dat je dit wilt doen?"
Reset,Reset
"Save Model","Bewaar model"
"Save and Continue Edit","Bewaar en doorgaan met wijzigen"
Home,Home
"Go to Home Page","Ga naar homepage"
"Search results for: '%1' license plate","Zoekresultaat voor kenteken: '%1'"
"Search results for: '%1 %2'","Zoekresultaat voor: '%1 %2'"
"Search results","Zoekresultaat"
"Minimum Search query length is %1","Minimale lengte voor zoekopdracht is %1"
"You deleted the model.","Je hebt het model verwijderd."
"We can't find a model to delete.","Geen model gevonden om te verwijderen."
"License Plate","Kenteken"
"Manage Models","Beheer modellen"
"Edit Model","Wijzig model"
"New Model","Nieuw Model"
Models,Modellen
"This model no longer exists.","Dit model bestaat niet meer."
"Model with id %1 can not be deleted.","Het model met id %1 kan niet verwijderd worden."
"A total of %1 record(s) have been deleted.","Er zijn totaal %1 record(s) verwijderd."
"Model is not valid","Model is niet geldig"
"You saved the model.","Je hebt het model bewaard."
"Something went wrong while saving the company.","Er is iets fout gegaan bij het opslaan van het bedrijf."
"Model for searched parameters is not found.","Geen model gevonden bij de zoek parameters."
"Registration number is not found.","Kenteken nummer niet gevonden."
"Model for searched registration is not found.","Model voor gezochte kenteken niet gevonden."
"Model or manufacturer is not selected.","Model of fabrikant is niet geselecteerd."
"Select Construction Period","Kies een bouwjaar"
"Select Generation","Selecteer uitvoering"
"Model is not selected.","Model is niet geselecteerd."
"Select Motor","Selecteer motor"
"Select Model","Selecteer model"
"Nothing is selected.","Er is niets geselecteerd."
"Field %1 is empty","Veld %1 is leeg"
"Fuel field is not valid","Brandstof veld is iet geldig"
"HMDNR field must contain only digits","HMDNR veld mag alleen nrs bevatten"
"HMDNR field is not valid","HMDNR veld is niet geldig"
"Something went wrong during import. Please check logs for the details.","Er is iets fout gegaan tijdens import. Controleer de logs voor details."
"File %1 for import doesn't exist. Skip update.","Bestand %1 voor import bestaat niet. Skip update."
"CSV file does not contain all required fields.","CSV file bevat niet alle benodigde velden."
"Model import file doesn't exist","Model import bestand bestaat niet"
"Cannot update models","Kan modellen niet updaten"
"Required field %1 is missed in model import","Verplicht veld %1 niet aanwezig in model import"
"Cannot update products info","Kan producten info niet updaten"
"Next product skus are not found during licensepalet import: %1","De volgende productsku's zijn niet gevonden tijdens kenteken import: %1"
"Next model HMDNR are not found during licensepalet import: %1","De volgende HMDNR's zijn niet geovonden tijdens kenteken import: %1"
"Required field %1 is missed in product import","Verplicht veld %1 niet aanwezig in product import"
"Cannot update registration info","kan kenteken info niet updaten"
